school,sex,age,study_time,medu,fedu,failures,school_sup,fam_sup,absences,fam_rel,p_status,g1,g2,g3
0,0,18,2,4,4,0,1,0,6,4,0,5,6,6
0,0,17,2,1,1,0,0,1,4,5,1,5,5,6
0,0,15,2,1,1,3,1,0,10,4,1,7,8,10
0,0,15,3,4,2,0,0,1,2,3,1,15,14,15
0,0,16,2,3,3,0,0,1,4,4,1,6,10,10
0,1,16,2,4,3,0,0,1,10,5,1,15,15,15
0,1,16,2,2,2,0,0,0,0,4,1,12,12,11
0,0,17,2,4,4,0,1,1,6,4,0,6,5,6
0,1,15,2,3,2,0,0,1,0,4,0,16,18,19
0,1,15,2,3,4,0,0,1,0,5,1,14,15,15
0,0,15,2,4,4,0,0,1,0,3,1,10,8,9
0,0,15,3,2,1,0,0,1,4,5,1,10,12,12
0,1,15,1,4,4,0,0,1,2,4,1,14,14,14
0,1,15,2,4,3,0,0,1,2,5,1,10,10,11
0,1,15,3,2,2,0,0,1,0,4,0,14,16,16
0,0,16,1,4,4,0,0,1,4,4,1,14,14,14
0,0,16,3,4,4,0,0,1,6,3,1,13,14,14
0,0,16,2,3,3,0,1,1,4,5,1,8,10,10
0,1,17,1,3,2,3,0,1,16,5,1,6,5,5
0,1,16,1,4,3,0,0,0,4,3,1,8,10,10
0,1,15,2,4,3,0,0,0,0,4,1,13,14,15
0,1,15,1,4,4,0,0,1,0,5,1,12,15,15
0,1,16,2,4,2,0,0,0,2,4,1,15,15,16
0,1,16,2,2,2,0,0,1,0,5,1,13,13,12
0,0,15,3,2,4,0,1,1,2,4,1,10,9,8
0,0,16,1,2,2,2,0,1,14,1,1,6,9,8
0,1,15,1,2,2,0,0,1,2,4,1,12,12,11
0,1,15,1,4,2,0,0,0,4,2,1,15,16,15
0,1,16,2,3,4,0,1,1,4,5,0,11,11,11
0,1,16,2,4,4,0,0,1,16,4,1,10,12,11
0,1,15,2,4,4,0,0,1,0,5,1,9,11,12
0,1,15,2,4,4,0,0,1,0,4,1,17,16,17
0,1,15,2,4,3,0,0,1,0,4,1,17,16,16
0,1,15,2,3,3,0,0,0,0,5,1,8,10,12
0,1,16,1,3,2,0,0,1,0,5,1,12,14,15
0,0,15,1,2,3,0,0,1,0,3,1,8,7,6
0,1,15,3,4,3,0,0,1,2,5,1,15,16,18
0,1,16,3,4,4,0,0,1,7,2,0,15,16,15
0,0,15,3,3,4,0,1,1,2,4,1,12,12,11
0,0,15,1,2,2,0,1,1,8,4,1,14,13,13
0,0,16,2,2,2,1,0,1,25,3,1,7,10,11
0,1,15,1,4,4,0,0,1,8,5,1,12,12,12
0,1,15,2,4,4,0,0,1,2,4,1,19,18,18
0,1,15,1,2,2,0,1,1,0,5,1,8,8,11
0,0,16,2,2,2,1,1,0,14,4,1,10,10,9
0,0,15,2,4,3,0,1,1,8,5,0,8,8,6
0,0,16,2,3,3,0,0,1,12,2,0,11,12,11
0,1,16,4,4,3,0,0,0,4,4,1,19,19,20
0,1,15,2,4,2,0,0,1,2,4,1,15,15,14
0,0,15,2,4,4,1,1,1,2,4,1,7,7,7
0,0,16,2,2,2,0,0,1,2,4,1,12,13,13
0,0,15,2,4,2,0,0,1,2,4,1,11,13,13
0,1,15,1,4,2,1,0,0,6,5,0,11,11,10
0,0,15,1,4,4,0,1,1,0,3,1,8,10,11
0,0,15,1,3,3,0,0,0,6,5,0,10,13,13
0,0,16,2,2,1,0,0,0,8,5,0,8,9,10
0,0,15,2,4,3,0,0,1,0,4,0,14,15,15
0,1,15,2,4,4,0,0,1,4,3,1,14,15,15
0,1,15,2,1,2,0,1,1,2,4,1,9,10,9
0,0,16,2,4,2,0,0,1,2,4,1,15,16,16
0,0,16,2,4,4,0,0,1,6,2,1,10,11,11
0,0,16,1,1,1,0,1,1,6,5,1,10,8,11
0,0,16,2,1,2,0,1,0,4,4,1,8,10,9
0,0,16,3,4,3,0,1,1,2,3,1,10,9,9
0,0,15,2,4,3,0,1,0,0,4,1,10,10,10
0,0,16,2,4,3,0,0,1,2,5,1,16,15,15
0,1,15,4,4,4,0,0,1,4,1,0,13,13,12
0,0,16,4,3,1,0,1,1,4,4,1,7,7,6
0,0,15,2,2,2,0,1,1,2,4,1,8,9,8
0,0,15,4,3,1,0,0,1,12,4,1,16,16,16
0,1,16,4,3,1,0,0,1,0,4,1,13,15,15
0,1,15,4,4,2,0,0,0,0,3,1,10,10,10
0,0,15,2,1,1,2,1,1,2,3,1,8,6,5
0,1,16,1,3,1,0,0,0,2,5,1,12,12,14
0,0,16,2,3,3,0,1,1,54,4,1,11,12,11
0,1,15,2,4,3,0,0,1,6,4,1,9,9,10
0,1,15,4,4,0,0,0,0,8,3,1,11,11,10
0,0,16,4,2,2,0,0,0,0,5,1,11,11,11
0,1,17,1,2,1,3,1,1,2,4,1,8,8,10
0,0,16,2,3,4,0,0,1,12,2,1,5,5,5
0,1,15,1,2,3,0,1,1,2,3,1,10,12,12
0,1,15,3,2,3,0,1,0,4,5,1,11,10,11
0,0,15,2,3,2,0,0,1,10,4,1,7,6,6
0,1,15,2,2,2,0,0,0,4,5,1,15,15,15
0,0,15,2,1,1,0,0,1,2,4,1,9,10,10
0,0,15,2,4,4,2,0,0,6,4,1,7,9,8
0,0,16,2,2,2,0,0,1,4,4,1,8,7,6
0,0,15,3,4,2,0,0,1,4,5,1,13,14,14
0,1,16,2,2,2,1,0,0,12,4,1,11,10,10
0,1,16,2,4,4,0,0,1,18,4,0,8,6,7
0,0,16,3,3,3,0,0,1,0,4,1,7,7,8
0,0,15,1,4,3,0,0,0,4,4,1,16,17,18
0,0,16,2,3,1,0,1,1,4,3,1,7,6,6
0,0,16,2,4,2,0,0,1,0,5,1,11,10,10
0,1,15,4,2,2,0,0,1,6,4,1,11,13,14
0,0,15,4,1,1,1,1,1,2,3,1,7,10,10
0,1,16,1,4,3,0,1,1,2,3,1,11,15,15
0,0,16,2,2,1,0,0,1,2,4,1,8,9,10
0,0,16,1,4,4,0,0,0,6,5,1,11,14,14
0,0,16,3,4,3,0,1,1,0,5,1,7,9,8
0,1,16,1,4,4,0,1,1,14,4,1,7,7,5
0,1,16,3,4,4,0,0,1,0,4,1,16,17,17
0,1,15,1,4,4,0,0,1,4,5,1,10,13,14
0,0,15,2,3,2,0,1,1,26,4,1,7,6,6
0,1,15,2,3,4,0,0,1,0,5,0,16,18,18
0,0,15,4,3,3,0,1,0,10,4,0,10,11,11
0,0,15,4,2,2,0,1,1,8,5,1,7,8,8
0,1,16,3,3,3,0,0,1,2,5,1,16,18,18
0,1,15,4,4,4,0,0,1,6,1,1,10,13,13
0,0,16,3,4,4,0,0,1,4,5,1,14,15,16
0,1,15,1,4,4,0,0,0,6,5,0,18,19,19
0,0,16,3,3,3,1,1,1,0,4,1,7,10,10
0,0,16,2,2,2,1,1,0,6,3,1,10,13,13
0,1,15,1,4,2,0,0,0,10,3,1,18,19,19
0,1,15,2,2,1,0,0,0,8,5,1,9,9,9
0,1,16,2,4,4,0,0,1,2,5,1,15,15,16
0,1,15,2,4,4,0,0,1,2,4,1,11,13,14
0,1,16,1,3,3,0,0,0,0,5,1,13,14,13
0,1,17,2,1,3,1,0,1,20,5,1,9,7,8
0,1,15,1,3,4,0,0,0,6,3,1,14,13,13
0,0,15,2,1,2,0,0,0,2,3,1,16,15,15
0,1,15,4,2,2,0,0,1,6,5,1,16,14,15
0,0,16,2,2,4,0,0,1,2,4,1,13,13,13
0,1,16,1,4,4,0,0,1,18,3,1,14,11,13
0,0,16,2,2,2,0,0,0,0,5,1,8,7,8
0,1,15,1,3,4,0,1,0,0,5,1,13,13,12
0,0,15,2,3,4,0,1,0,0,5,0,7,10,11
0,0,19,2,0,1,3,0,1,2,3,1,7,8,9
0,1,18,1,2,2,2,0,1,0,3,1,7,4,0
0,1,16,1,4,4,0,0,0,8,3,1,18,18,18
0,0,15,3,3,4,2,0,1,0,4,1,12,0,0
0,0,15,1,1,1,0,0,1,0,4,1,8,0,0
0,0,17,1,2,2,0,0,1,12,3,1,10,13,12
0,0,16,1,3,4,0,0,0,16,3,0,12,11,11
0,1,15,2,3,4,0,0,1,0,5,1,9,0,0
0,0,15,3,4,4,0,0,1,0,4,1,11,0,0
0,1,17,2,3,4,0,0,0,0,5,1,10,0,0
0,0,16,1,3,3,2,0,1,0,4,0,4,0,0
0,1,16,2,1,1,1,0,0,0,4,1,14,12,12
0,0,15,1,4,4,0,0,0,0,4,1,16,16,15
0,1,15,4,4,3,0,1,1,0,2,1,7,9,0
0,1,16,1,2,2,2,0,1,8,2,1,9,9,9
0,0,15,3,4,4,0,0,1,2,4,1,9,11,11
0,0,16,1,1,1,0,0,0,2,3,1,14,14,13
0,1,17,1,2,1,3,0,1,0,5,1,5,0,0
0,0,15,2,1,1,0,0,1,0,4,1,8,11,11
0,0,15,2,3,2,3,0,1,0,3,1,6,7,0
0,0,15,2,1,2,0,0,1,2,4,1,10,11,11
0,1,16,1,4,4,0,0,1,0,3,1,7,6,0
0,1,15,1,2,1,3,0,0,0,4,0,8,9,10
0,1,18,1,1,1,3,0,0,0,2,1,6,5,0
0,1,16,1,2,1,1,0,0,6,4,1,12,13,14
0,0,15,3,3,3,2,0,1,8,4,1,10,10,10
0,1,19,1,3,2,3,0,1,0,4,1,5,0,0
0,0,17,1,4,4,0,1,1,0,4,1,11,11,12
0,1,15,2,2,3,0,1,0,2,4,1,11,8,8
0,1,17,1,1,2,0,0,0,8,2,1,16,12,13
0,0,18,1,1,1,3,0,1,6,5,1,9,8,10
0,1,16,1,2,2,0,0,0,2,4,1,17,15,15
0,1,16,2,3,3,1,0,1,4,4,1,10,12,12
0,1,17,1,2,1,2,0,0,0,3,1,7,6,0
0,1,15,2,3,2,2,1,1,6,4,1,5,9,7
0,1,16,1,1,2,1,0,0,0,4,1,7,0,0
0,1,17,1,1,3,0,0,0,2,5,1,10,10,10
0,1,17,2,1,1,3,0,0,0,5,1,5,8,7
0,1,16,1,3,2,1,0,1,16,4,1,12,11,12
0,1,16,2,2,2,0,0,0,4,4,1,10,10,10
0,0,16,2,4,2,0,0,0,0,4,1,14,15,16
0,0,16,2,2,2,0,0,1,0,5,1,6,7,0
0,0,16,2,4,4,0,0,1,0,4,1,14,14,14
0,1,16,1,3,4,2,0,1,0,3,1,6,5,0
0,1,16,2,1,0,0,0,1,2,4,1,13,15,16
0,1,17,2,4,4,0,0,1,0,4,1,13,11,10
0,0,16,2,1,3,3,0,0,0,4,1,8,7,0
0,0,16,2,3,3,0,0,1,4,4,1,10,11,9
0,1,17,2,4,3,0,0,0,4,4,1,10,9,9
0,0,16,2,2,2,0,0,0,2,3,1,13,13,11
0,1,17,2,3,3,0,0,0,4,4,1,6,5,6
0,1,16,1,4,2,0,0,1,10,4,1,10,8,9
0,1,17,2,4,3,0,0,1,4,5,1,10,10,11
0,1,16,2,4,3,0,0,1,10,3,1,9,8,8
0,1,16,2,3,3,0,0,0,2,4,1,12,13,12
0,0,17,2,2,4,0,0,1,0,5,1,16,17,17
0,0,17,2,3,3,0,0,1,56,5,1,9,9,8
0,0,16,2,3,2,0,0,1,14,1,1,12,13,12
0,1,17,2,3,3,0,0,1,12,4,1,12,12,11
0,1,16,1,1,2,0,0,1,2,3,1,11,12,11
0,1,16,2,2,1,0,0,0,0,4,1,15,15,15
0,0,17,2,3,3,0,0,1,6,3,0,8,7,9
0,1,17,2,1,2,0,0,0,4,3,1,8,9,10
0,0,16,2,2,3,0,0,0,10,4,1,11,12,13
0,0,17,2,1,1,0,0,0,0,5,1,8,8,9
0,1,17,2,1,2,0,0,0,12,4,1,7,8,8
0,1,16,1,3,3,0,0,1,8,4,1,8,9,10
0,1,16,1,2,3,0,0,0,0,5,1,13,14,14
0,0,17,2,2,4,0,0,0,0,4,1,14,15,15
0,1,17,1,4,4,0,0,0,4,5,1,17,15,16
0,1,16,1,3,3,0,0,1,8,3,1,9,9,10
0,0,17,1,4,4,1,0,1,24,4,1,18,18,18
0,0,16,2,4,4,0,0,1,0,4,1,9,9,10
0,0,16,2,4,3,0,0,1,2,4,1,16,16,16
0,0,16,2,2,3,0,1,1,6,4,1,8,10,10
0,0,17,2,1,1,0,0,1,4,4,1,9,9,10
0,0,17,1,2,2,0,0,1,18,5,1,7,6,6
0,0,16,4,2,2,0,0,1,6,5,1,10,10,11
0,0,17,3,3,4,1,0,1,28,4,1,10,9,9
0,0,16,2,3,1,3,0,1,5,2,0,7,7,7
0,0,16,2,4,3,0,0,0,10,1,1,11,12,13
0,0,16,1,1,1,0,0,1,6,4,1,9,9,10
0,0,17,3,4,3,0,0,1,6,4,1,7,7,7
0,0,19,4,3,3,0,0,1,10,4,1,8,8,8
0,1,17,2,4,4,0,0,1,13,5,1,12,12,13
0,0,16,2,2,2,0,1,1,0,3,0,12,13,14
0,1,18,2,2,2,1,0,1,15,4,1,6,7,8
0,0,17,1,4,4,0,0,1,12,5,1,8,10,10
0,0,17,2,3,2,0,0,0,2,4,1,14,15,15
0,0,17,2,4,3,2,0,0,22,3,1,6,6,4
0,1,18,2,3,3,1,0,1,13,3,1,6,6,8
0,0,17,1,2,3,0,0,1,3,3,1,7,7,8
0,0,17,3,2,2,0,0,1,4,4,1,9,10,10
0,0,17,2,2,1,0,0,1,2,4,1,6,6,6
0,0,17,3,1,1,1,0,1,0,4,1,6,5,0
0,0,16,2,2,3,0,1,0,2,2,1,16,16,17
0,1,18,2,2,2,0,0,1,0,3,1,12,13,13
0,0,16,3,4,4,0,0,1,0,5,1,13,13,14
0,0,18,2,3,1,1,0,0,16,5,1,9,8,7
